FID,OID,DID,VAL
288,330100,330300,68335
205,320800,320500,68758
1570,431100,441800,68776
1649,440100,445200,68851
989,360700,441400,69052
927,360400,361100,69294
975,360700,350800,69736
1097,411600,341600,70109
1062,361100,360600,70588
1832,440900,445300,70634
203,320800,320300,70660
839,350800,360700,70830
1189,420600,421300,70836
1650,440100,445300,70893
966,360600,361100,71378
315,330200,330300,71572
1098,411700,341200,72092
1982,442000,441200,72190
1159,420500,420100,72244
1073,371100,320700,72909
902,360300,360900,73350
1892,441600,440100,73395
976,360700,360100,73480
1870,441400,440100,73584
139,320500,320800,73769
1309,421300,420600,73980
332,330300,330200,74040
1637,440100,440800,74489
1224,420800,421000,74588
1871,441400,440300,74788
1641,440100,441400,74829
1942,441900,431100,74830
1086,411400,341300,74837
1555,431000,440200,74850
1420,430200,360300,75008
1789,440800,440100,75134
1021,360900,360800,75408
906,360300,430200,75504
515,340300,340100,75613
1016,360900,360300,75660
653,341200,411700,76233
331,330300,330100,76638
942,360500,360900,76692
1643,440100,441600,76701
536,340400,341600,76824
692,341600,340400,76998
669,341300,411400,77097
197,320700,371100,77642
1018,360900,360500,77866
1252,421000,420800,77916
1890,441600,360700,77926
1695,440300,440700,77971
1440,430300,430400,78082
745,350200,350300,78324
369,330500,320200,78418
1004,360800,360900,80302
1614,433100,520600,80931
1047,361100,330700,81060
1087,411400,341600,81327
759,350300,350200,81412
699,341600,411600,81597
1946,441900,440400,81769
1869,441400,360700,81862
2123,520600,433100,82210
1474,430500,431100,82892
477,340100,340300,82921
1663,440200,431000,83160
1454,430400,430300,83540
118,320400,320600,84020
2025,445300,440900,84450
465,331100,330300,84704
1426,430200,430400,84716
1374,429006,429004,85040
1349,429004,429006,85262
698,341600,411400,86175
1453,430400,430200,86376
1080,411300,420600,86636
339,330300,331100,86747
232,321000,320500,87594
468,331100,330700,87881
1312,421300,420900,88642
141,320500,321000,88911
175,320600,320400,89058
905,360300,430100,89256
1150,420300,420600,89328
1823,440900,440100,89364
405,330700,331100,89382
1182,420600,420300,89936
691,341600,340300,90220
2024,445300,440700,90318
48,320100,310000,90562
1258,421000,429004,90922
1179,420600,411300,91351
2067,450900,440900,91455
1343,429004,421000,92146
236,321000,320900,93261
1726,440400,441900,93516
720,341800,320400,93574
1785,440700,445300,93610
59,320100,321200,94257
2014,445200,441300,94374
1865,441300,445200,94530
1638,440100,440900,94582
1241,420900,421300,94804
718,341800,320100,95122
660,341300,321300,95276
1835,440900,450900,95307
1873,441400,441300,95730
2015,445200,441400,96078
1912,441700,442000,96346
1066,370400,320300,96405
1986,442000,441700,96822
131,320400,341800,97448
1795,440800,441700,97594
1700,440300,441400,97639
224,320900,321000,97785
1793,440800,440700,98476
1048,361100,330800,98648
1858,441300,441400,98826
1455,430400,430500,99018
810,350600,440500,100218
121,320400,321000,100407
280,321300,341300,101022
870,360100,360800,101134
1878,441400,445200,101418
1926,441800,441200,101438
1875,441400,441600,101504
1070,370800,320300,101799
522,340300,341600,101868
1449,430300,431300,102006
1180,420600,420100,102204
1110,420100,420600,102837
109,320300,370800,102974
1842,441200,441800,103404
1470,430500,430400,103462
251,321100,321200,103470
231,321000,320400,103479
108,320300,370400,103997
265,321200,321100,104706
1779,440700,440900,105006
360,330400,330600,105121
1590,431300,430300,105260
1075,371300,320300,105559
1924,441800,440300,105916
1900,441600,441900,105942
1951,441900,440900,105945
807,350600,350800,106008
1827,440900,440700,106060
1778,440700,440800,107068
387,330600,330400,107872
1275,421100,360400,107895
837,350800,350600,108120
213,320800,341100,108752
257,321200,320100,110055
1921,441800,431100,110082
812,350600,445100,110586
1732,440500,350600,110800
77,320100,341800,110805
415,330700,361100,110874
111,320300,371300,111291
1898,441600,441400,111640
1563,431100,430500,111846
1908,441700,440800,111868
1229,420800,429006,112410
1369,429006,420800,113002
735,350100,350400,113072
87,320200,321100,113512
772,350400,350100,113608
24,310000,330900,113730
1631,440100,440200,113874
244,321100,320200,114140
625,341100,320800,114170
432,330800,361100,114174
451,331000,330600,114688
744,350200,350100,114700
5,310000,320100,114714
1664,440200,440100,114749
724,341800,330500,115244
392,330600,331000,115596
998,360800,360100,115890
433,330900,310000,115955
775,350400,350500,116786
1577,431200,430500,116940
563,340600,341600,116958
1475,430500,431200,117006
1391,430100,360300,117370
1956,441900,441600,117433
1265,421000,430700,117732
1529,430800,430700,118068
1112,420100,420800,118630
103,320300,320700,119126
1506,430700,421000,119176
14,310000,321200,119492
733,350100,350200,119598
187,320700,320300,120504
1410,430100,430800,120904
86,320200,321000,121560
1264,421000,430600,121854
1997,445100,350600,122020
693,341600,340600,122034
488,340100,341600,122541
256,321200,310000,122630
1459,430400,431000,123166
1217,420800,420100,123405
230,321000,320200,123624
677,341500,340400,124066
788,350500,350400,124258
931,360400,421100,124956
535,340400,341500,126180
1488,430600,421000,128776
2011,445200,440300,130069
381,330500,341800,130600
738,350100,350700,130930
1514,430700,430800,130980
1783,440700,441900,131116
1211,420700,421100,131290
60,320100,321300,131373
626,341100,321000,132490
1708,440300,445200,133422
1096,411600,341200,134272
690,341600,340100,134341
240,321000,341100,135412
750,350200,350800,135428
1669,440200,441800,136212
1552,431000,430400,136292
1692,440300,440400,136346
1306,421300,420100,137724
1281,421100,420700,138688
1582,431200,433100,139144
1076,371300,320700,139170
398,330700,330300,139196
1117,420100,421300,139542
1357,429005,421000,139710
1565,431100,431000,140184
644,341200,340400,140604
1259,421000,429005,141148
335,330300,330700,141486
649,341200,341500,141618
1704,440300,441800,141899
684,341500,341200,142024
343,330300,350900,142210
850,350900,330300,142732
198,320700,371300,142776
1923,441800,440200,142780
833,350800,350200,143028
652,341200,411600,143918
533,340400,341200,143960
1278,421100,420200,144580
1610,433100,431200,145014
1603,433100,430100,145550
1460,430400,431100,145568
1562,431100,430400,145856
820,350700,350100,147216
267,321300,320100,147368
1553,431000,431100,148542
1140,420200,421100,148900
1592,431300,430500,149018
1476,430500,431300,149068
1439,430300,430200,150238
218,320900,320200,150548
662,341300,340300,151188
85,320200,320900,154484
1107,420100,420200,156004
1425,430200,430300,157166
2016,445200,441500,157350
520,340300,341300,157894
1133,420200,420100,158276
1718,440400,440300,161234
423,330800,330700,162276
1949,441900,440700,162726
1889,441500,445200,163654
1539,430900,430600,163822
1321,422800,420500,164264
1170,420500,422800,164592
1501,430600,430900,164626
1753,440600,441300,165956
7,310000,320400,167056
1058,361100,360200,167168
123,320400,321200,169194
223,320900,320800,169494
208,320800,320900,169572
114,320400,310000,170620
894,360200,361100,170800
2019,445200,445100,170840
1515,430700,430900,170916
402,330700,330800,171678
2023,445300,440600,172076
259,321200,320400,172650
710,341700,340800,173610
1540,430900,430700,174074
357,330400,330200,175888
295,330100,331000,176376
316,330200,330400,176616
590,340800,341700,176886
319,330200,330700,176966
216,320900,310000,177026
397,330700,330200,177248
447,331000,330100,177358
509,340200,341800,179414
83,320200,320600,179418
452,331000,330700,180560
1003,360800,360700,180806
527,340400,340100,180962
478,340100,340400,181524
174,320600,320200,182050
726,341800,340200,182540
1829,440900,441700,184026
418,330800,330100,184800
1857,441300,440600,185012
404,330700,331000,185442
293,330100,330800,187180
1761,440600,445300,187608
11,310000,320900,188833
2007,445100,445200,189598
1729,440400,820000,189767
193,320700,321300,191444
49,320100,320200,191966
1166,420500,421000,192888
1880,441500,440300,193246
1928,441800,441900,193998
321,330200,330900,194133
872,360100,361000,194142
1894,441600,440300,194576
479,340100,340500,194844
1249,421000,420500,197610
80,320200,320100,197882
1033,361000,360100,198894
190,320700,320800,199638
207,320800,320700,199914
1909,441700,440900,200670
272,321300,320700,201192
438,330900,330200,201336
980,360700,360800,204700
544,340500,340100,205820
476,340100,340200,206064
1119,420100,429004,206082
1701,440300,441500,208410
1859,441300,441500,210114
1883,441500,441300,210644
237,321000,321100,212270
1608,433100,430800,212714
1720,440400,440700,213710
805,350600,350500,213940
500,340200,340100,214424
2168,820000,440400,216085
2026,445300,441200,216678
1336,429004,420100,216782
789,350500,350600,218402
1845,441200,445300,218554
52,320100,320500,218828
1776,440700,440400,219182
20,310000,330500,220145
1702,440300,441600,220502
518,340300,341100,220720
485,340100,341200,221744
1756,440600,441700,221878
631,341100,340300,222456
642,341200,340100,227794
1602,433100,422800,228206
1906,441700,440600,230210
873,360100,361100,230928
785,350500,350100,232610
1332,422800,433100,234412
736,350100,350500,234416
133,320500,320100,234438
787,350500,350300,234476
1588,431300,430100,235430
250,321100,321000,235656
545,340500,340200,237260
1958,441900,441800,238134
1644,440100,441700,238865
1406,430100,430400,238882
209,320800,321000,241338
367,330500,310000,241408
1415,430100,431300,242746
1976,442000,440300,243042
1057,361100,360100,244680
17,310000,330200,245994
1903,441700,440100,248815
502,340200,340500,249684
235,321000,320800,250500
1988,442000,441900,251386
1706,440300,442000,251568
311,330200,310000,253054
389,330600,330700,253142
761,350300,350500,253988
401,330700,330600,254268
1407,430100,430500,255560
2113,500000,422800,256361
1452,430400,430100,257982
1467,430500,430100,259006
285,330100,320500,260066
629,341100,340100,264836
1959,441900,442000,268578
322,330200,331000,269298
484,340100,341100,269318
1205,420700,420200,270376
1114,420100,421000,271142
866,360100,360400,272003
448,331000,330200,273474
55,320100,320800,275962
1633,440100,440400,277336
1116,420100,421200,280190
191,320700,320900,281958
1292,421200,420100,282580
918,360400,360100,283932
1333,422800,500000,284363
734,350100,350300,285078
1897,441600,441300,286170
145,320500,330100,286187
220,320900,320500,286264
51,320100,320400,287288
758,350300,350100,289938
1717,440400,440100,291751
115,320400,320100,292630
1860,441300,441600,294288
222,320900,320700,295284
1246,421000,420100,295460
201,320800,320100,297452
1136,420200,420700,299098
338,330300,331000,300084
449,331000,330300,300570
140,320500,320900,305098
1747,440600,440300,311652
1509,430700,430100,314242
1781,440700,441700,315480
1907,441700,440700,317500
260,321200,320500,321132
57,320100,321000,321226
1204,420700,420100,321806
143,320500,321200,322272
1409,430100,430700,325788
1694,440300,440600,327006
1111,420100,420700,331146
1532,430800,433100,333532
261,321200,320600,333926
229,321000,320100,334614
182,320600,321200,334794
179,320600,320900,340326
221,320900,320600,343588
695,341600,341200,344628
650,341200,341600,351320
117,320400,320500,352480
1837,441200,440100,356458
136,320500,320400,357316
374,330500,330400,357756
287,330100,330200,357828
583,340800,340100,360402
359,330400,330500,360726
1925,441800,440600,361452
1639,440100,441200,363036
314,330200,330100,367178
482,340100,340800,368668
740,350100,350900,371496
318,330200,330600,378840
385,330600,330200,381352
88,320200,321200,382012
1757,440600,441800,383146
854,350900,350100,388446
664,341300,340600,393370
226,320900,321200,395356
1758,440600,441900,395910
258,321200,320200,396146
561,340600,341300,400422
539,340500,320100,402940
273,321300,320800,407954
622,341100,320100,409222
